任务ID,任务名称,优先级,责任人,工时估算(人天),决策类型,量化验收指标,依赖,里程碑
A-001,统一路径规范化实现并下沉Foundation,高,引擎基础组,2,补齐,"删除重复实现2处；路径API收敛为1套；相关单测通过率100%",A-002,S1
A-002,建立foundation.path静态库并替换调用点,高,引擎基础组,3,补齐,"新增target 1个；旧API调用替换>=20处；无回归",无,S1
A-003,删除重复纹理释放实现并保留单一出口,高,资源系统组,1,补齐,"重复函数从2份降为1份；Texture释放回归测试通过",无,S1
A-004,合并资产依赖结构体模型,高,资产管线组,2,补齐,"AssetDependency模型收敛为1个；字段漂移率=0",A-003,S1
A-005,清理空WASM容器文件或迁入experimental,中,WASM组,1,砍掉/降级,"空文件数量从2降到0；构建不再引用空单元",无,S1
A-006,new_api.h进行砍掉或补齐最小可用接口,中,玩法框架组,1,砍掉/补齐,"若保留则至少1个可调用API+测试；若砍掉则无引用残留",无,S1
A-007,修正平台宏命名一致性,中,平台组,0.5,补齐,"WASM宏统一为单一命名；全局搜索无旧宏残留",无,S1
A-008,将MainEditor拆分为Shell+WindowRegistry+Commands,高,编辑器组,6,补齐,"MainEditor文件行数下降>=40%；窗口创建从new迁移到工厂100%",A-012,S2
A-009,将AssetManager拆分为Catalog+ImportPipeline+TextureBridge,高,资源系统组,8,补齐,"AssetManager公开方法减少>=35%；职责边界文档完成",A-004,S2
A-010,建立DI容器与组合根,高,架构组,4,补齐,"新增IServiceProvider；核心服务构造注入覆盖>=80%",A-008,S2
A-011,底层能力拆为独立target(序列化/反射/任务/内存/日志/热重载),高,架构组,10,补齐,"新增静态库或header-only target>=6个；上层仅依赖接口",A-010,S3
A-012,将UI属性绘制收敛为单一路径+适配层,中,编辑器组,4,降级/补齐,"属性绘制实现路径从3降到1+1适配；回归快照通过",A-008,S2
A-013,事件系统双轨收敛(轻量事件与eventpp统一入口),中,架构组,3,降级/补齐,"事件接入口从2套降到1套；遗留桥接层<=1",A-010,S2
A-014,目录分层重构为foundation/runtime/editor/app,高,架构组,12,补齐,"层间非法依赖数清零；目录语义一致性评审通过",A-011,S3
A-015,主目标从全量GLOB改为显式target组装,高,构建组,5,补齐,"MainEngine不再GLOB src/**；增量编译时间下降>=15%",A-014,S3
A-016,引入clang-build-analyzer并建立扁平化vs分层对比基线,高,构建组,2,补齐,"输出2份报表；包含Frontend Top20与总耗时对比",A-015,S3
A-017,Tracy三场景采样(启动/导入/保存)与Top10热点报告,高,性能组,3,补齐,"每场景产出Top10函数；报告可复现",A-009,S2
A-018,引入pmr monotonic buffer于导入与清单热路径,高,性能组,4,补齐,"内存分配热点次数下降>=30%；导入耗时下降>=15%",A-017,S3
A-019,Clang-Tidy规则集落地(modernize/performance/cppcoreguidelines),高,质量组,2,补齐,"新增.clang-tidy；主干0 warning门禁生效",无,S1
A-020,启用IWYU与clang-format-17 pre-commit,高,质量组,2,补齐,"新增pre-commit配置；提交前自动检查命中率100%",A-019,S1
A-021,CI新增PVS/CodeQL静态分析阶段,中,CI组,3,补齐,"静态分析耗时<=30min；高危问题清零",A-019,S2
A-022,CI新增单测+基准回归阶段,高,CI组,3,补齐,"单测+gbench阶段<=20min；性能回归阈值生效",A-017,S2
A-023,CI新增ASan/UBSan/LeakSan矩阵,中,CI组,3,补齐,"Sanitizer任务0异常；失败阻断合并",A-021,S2
A-024,构建矩阵升级到MSVC v145/Clang22/GCC16,高,构建组,4,补齐,"三编译器全绿；均启用C++23与协程标志",A-015,S3
A-025,ECS/任务图迁移一期(导入与保存DAG),中,玩法框架组,8,补齐,"导入保存流程DAG化；关键路径并行化覆盖>=60%",A-010,S4
A-026,ECS迁移二期(Tick高频对象SoA化),中,玩法框架组,10,补齐,"Tick热点CPU时间下降>=20%；帧抖动P95下降>=20%",A-025,S4
A-027,覆盖率治理(底层>=90% 编排>=75%),高,测试组,6,补齐,"底层库覆盖率>=90%；编排层>=75%；报告入库",A-011,S3
A-028,双资深评审与质量归档流程,中,质量组,1,补齐,"每个大改动2位资深review记录齐全；附静态分析与覆盖率截图",A-019,S2
